contig_id,length_bp,length_kb,mapped_reads,RPM,RPKM,best_hit,identity,evalue,bitscore,taxid
k141_35371,1661,1.661,330,72.76,43.81,AAL89278.1,47.0,1.13e-119,356.0,342409.0
k141_149818,1620,1.62,312,68.8,42.47,NP_044929.1,25.9,3.42e-07,56.6,207343.0
k141_150889,1469,1.469,280,61.74,42.03,QXT57843.1,28.5,3.15e-07,57.4,2859906.0
k141_150684,4929,4.929,928,204.62,41.51,USI00828.1,26.1,5.54e-08,58.5,39947.0
k141_171916,1848,1.848,335,73.87,39.97,YP_009173673.1,39.6,1.08e-17,76.6,455364.0
k141_68720,34166,34.166,6140,1353.87,39.63,QIG59668.1,33.7,2.2299999999999997e-52,189.0,2704074.0
k141_95933,1231,1.231,220,48.51,39.41,AYV78014.1,32.2,9.38e-44,159.0,2487765.0
k141_88389,1908,1.908,340,74.97,39.29,XDO02170.1,32.2,1e-37,153.0,3240092.0
k141_84000,1292,1.292,230,50.71,39.25,AEJ89574.1,32.8,8.6e-10,61.2,11723.0
k141_115529,1539,1.539,272,59.98,38.97,QOI90522.1,38.2,1.21e-43,157.0,455367.0
k141_31248,1073,1.073,188,41.45,38.63,AUI39789.1,35.0,2.16e-15,75.9,47929.0
k141_24667,1490,1.49,261,57.55,38.62,AYV77371.1,30.3,8.79e-09,56.2,2487764.0
k141_39453,4707,4.707,817,180.15,38.27,QFG74851.1,29.5,1.3899999999999998e-42,170.0,1737588.0
k141_109367,2495,2.495,432,95.26,38.18,AYV78014.1,32.6,3.1000000000000003e-43,159.0,2487765.0
k141_125652,5816,5.816,993,218.96,37.65,QKF94107.1,25.0,1.75e-39,159.0,3070911.0
k141_126740,2243,2.243,378,83.35,37.16,ATZ80450.1,25.7,5.09e-29,128.0,2024608.0
k141_117044,1024,1.024,171,37.71,36.82,AAZ28935.1,29.9,1.25e-06,50.1,273507.0
k141_35310,1014,1.014,168,37.04,36.53,XHA87591.1,52.5,9.66e-11,57.4,3348870.0
k141_1174,6614,6.614,1064,234.61,35.47,APT43408.1,52.5,2.38e-101,300.0,10371.0
k141_65033,1066,1.066,171,37.71,35.37,YP_009448213.1,45.3,1.81e-14,74.7,2023057.0
k141_36557,1244,1.244,196,43.22,34.74,AYV78014.1,33.1,2.28e-44,161.0,2487765.0
k141_133566,1055,1.055,165,36.38,34.49,YP_009173627.1,53.0,2.62e-113,347.0,455364.0
k141_77465,45816,45.816,7129,1571.94,34.31,YP_009001225.1,29.0,8.05e-19,94.7,1450746.0
k141_63154,9402,9.402,1444,318.4,33.87,ARF10911.1,27.2,6.53e-12,71.6,1977638.0
k141_56312,2315,2.315,355,78.28,33.81,YP_009010932.1,28.8,1.15e-37,155.0,345198.0
k141_8962,21278,21.278,3257,718.17,33.75,UMO80163.1,36.4,3.62e-46,166.0,2848915.0
k141_97249,1855,1.855,283,62.4,33.64,AUI39789.1,27.8,3e-18,84.7,47929.0
k141_42929,3791,3.791,560,123.48,32.57,AUI39789.1,27.8,3.13e-16,79.3,47929.0
k141_167357,3096,3.096,452,99.67,32.19,XHA87591.1,81.4,8.89e-25,94.4,3348870.0
k141_167099,3450,3.45,500,110.25,31.96,UPW42252.1,48.3,1.07e-21,103.0,2937230.0
k141_113764,14525,14.525,2104,463.93,31.94,YP_009174445.1,48.8,3.91e-52,174.0,1586715.0
k141_133997,4235,4.235,610,134.5,31.76,AGE55605.1,29.8,1.47e-59,221.0,1278272.0
k141_147123,2542,2.542,366,80.7,31.75,QOI90522.1,51.6,1.49e-40,152.0,455367.0
k141_57748,1662,1.662,236,52.04,31.31,QQH14887.1,33.3,3.36e-10,63.2,1157040.0
k141_179250,1012,1.012,143,31.53,31.16,AAK92822.1,56.2,5.5800000000000005e-117,348.0,3702.0
k141_123103,1341,1.341,189,41.67,31.08,QKF93461.1,34.9,4.2099999999999995e-52,186.0,3070911.0
k141_36006,2770,2.77,389,85.77,30.97,AYV81649.1,31.8,1.36e-10,65.1,2487768.0
k141_4057,54875,54.875,7665,1690.13,30.8,QDY52327.1,26.4,6.69e-15,75.9,2596887.0
k141_172835,1626,1.626,227,50.05,30.78,QBK86717.1,28.2,3.07e-19,95.1,2506604.0
k141_75058,122177,122.177,17010,3750.7,30.7,CAA38181.1,42.5,9.25e-79,252.0,5547.0
k141_159067,24826,24.826,3446,759.84,30.61,QBK89188.1,51.3,2.46e-128,380.0,2506609.0
k141_160907,22584,22.584,3135,691.27,30.61,ULY68560.1,33.9,4.61e-31,121.0,2922419.0
k141_68086,1585,1.585,220,48.51,30.61,AYV81995.1,41.1,1.53e-69,239.0,2487769.0
k141_71880,24343,24.343,3363,741.54,30.46,QFG73678.1,43.1,4.92e-43,144.0,1737588.0
k141_35246,3103,3.103,428,94.37,30.41,QIG60138.1,46.6,2.48e-133,406.0,2704073.0
k141_164715,1531,1.531,210,46.3,30.24,QOI90522.1,51.7,7.09e-71,238.0,455367.0
k141_30902,2021,2.021,276,60.86,30.11,CAK7596788.1,55.3,6.23e-82,261.0,3072188.0
k141_78343,1289,1.289,176,38.81,30.11,YP_009173653.1,28.2,2.84e-19,93.6,455364.0
k141_11178,27791,27.791,3786,834.81,30.04,QBK86013.1,26.6,1.22e-19,97.8,2506602.0
k141_97244,21191,21.191,2878,634.6,29.95,AHJ40166.2,45.5,2.67e-101,308.0,1461100.0
k141_2547,2669,2.669,362,79.82,29.91,AYV81995.1,38.0,1.96e-166,536.0,2487769.0
k141_58446,1301,1.301,175,38.59,29.66,AUI39789.1,35.1,2.2e-12,67.4,47929.0
k141_119778,41724,41.724,5610,1237.0,29.65,ADB85364.1,50.0,3.23e-126,371.0,38705.0
k141_10336,71530,71.53,9611,2119.22,29.63,AUF82241.1,45.0,1.3199999999999998e-187,548.0,2060617.0
k141_71100,1214,1.214,161,35.5,29.24,AYV78014.1,33.0,8.639999999999999e-23,97.4,2487765.0
k141_133861,5911,5.911,775,170.89,28.91,AUF82142.1,49.2,1.5800000000000002e-167,486.0,2060617.0
k141_158526,8729,8.729,1133,249.83,28.62,UZT29310.1,35.1,1.9299999999999997e-42,154.0,2809609.0
k141_141852,6600,6.6,853,188.09,28.5,QOI90522.1,38.1,3.1e-134,415.0,455367.0
k141_148501,1608,1.608,207,45.64,28.39,AYV78014.1,33.2,8.75e-43,159.0,2487765.0
k141_13175,1500,1.5,193,42.56,28.37,AYV77278.1,49.1,1.83e-07,50.8,2487763.0
k141_15784,1003,1.003,129,28.44,28.36,AYV78352.1,31.9,3.68e-33,132.0,2487765.0
k141_40983,1248,1.248,160,35.28,28.27,QPI16279.1,45.2,2.99e-47,168.0,2763269.0
k141_84068,2433,2.433,311,68.58,28.19,QDY52168.1,25.6,1.4199999999999999e-42,162.0,2596887.0
k141_160530,16506,16.506,2105,464.15,28.12,AYV75222.1,36.7,1.43e-80,258.0,2487775.0
k141_77728,1292,1.292,164,36.16,27.99,AYV78014.1,36.3,1.69e-17,81.6,2487765.0
k141_155117,2131,2.131,269,59.31,27.83,AYV81995.1,43.3,9.61e-79,265.0,2487769.0
k141_6359,1128,1.128,142,31.31,27.76,AUI39624.1,35.7,1.03e-06,49.3,47929.0
k141_82861,1300,1.3,163,35.94,27.65,AUI39789.1,31.4,1.63e-06,50.8,47929.0
k141_117379,1812,1.812,227,50.05,27.62,WZH59261.1,39.4,4.08e-10,61.2,3130194.0
k141_4000,1263,1.263,158,34.84,27.58,XBP46520.1,25.5,1.9e-08,60.8,3138846.0
k141_152693,2097,2.097,262,57.77,27.55,YP_004732950.1,28.5,3.62e-16,83.2,68347.0
k141_125636,1689,1.689,211,46.53,27.55,UPW42252.1,45.3,2.9700000000000003e-21,101.0,2937230.0
k141_116175,1537,1.537,192,42.34,27.54,ARF08270.1,24.6,4.79e-16,85.1,1977631.0
k141_149088,2556,2.556,319,70.34,27.52,WRJ69575.1,34.6,5.36e-09,55.1,3045048.0
k141_117323,5843,5.843,728,160.52,27.47,SOB73998.1,28.0,3.36e-12,69.7,2023205.0
k141_125131,1729,1.729,215,47.41,27.42,WGU26825.1,31.8,8.42e-18,88.6,4568.0
k141_171092,2889,2.889,358,78.94,27.32,AUI39789.1,52.4,1.62e-45,152.0,47929.0
k141_109962,1949,1.949,240,52.92,27.15,AUI39789.1,35.9,8.75e-28,107.0,47929.0
k141_149584,3658,3.658,446,98.34,26.88,ABY74345.1,33.7,2.3600000000000002e-29,117.0,464988.0
k141_23014,9593,9.593,1164,256.66,26.76,QFG74015.1,28.0,1.1399999999999999e-45,175.0,1737588.0
k141_149198,1963,1.963,238,52.48,26.73,BAE72463.1,36.0,2.97e-13,69.3,145856.0
k141_165678,22351,22.351,2701,595.57,26.65,WZO89041.1,38.2,1.09e-113,355.0,2809302.0
k141_107834,2697,2.697,326,71.88,26.65,QFG74155.1,38.8,1.69e-33,126.0,1737588.0
k141_106508,2254,2.254,272,59.98,26.61,YP_009173627.1,49.4,1.0600000000000001e-167,493.0,455364.0
k141_19460,27565,27.565,3295,726.55,26.36,QFG74393.1,29.9,1.1099999999999999e-61,215.0,1737588.0
k141_26202,14153,14.153,1683,371.1,26.22,QPI16131.1,40.5,6.13e-100,315.0,2763269.0
k141_113204,1035,1.035,123,27.12,26.2,AYV81995.1,43.6,2.89e-71,241.0,2487769.0
k141_80046,2680,2.68,318,70.12,26.16,AUF82142.1,52.4,1.24e-36,135.0,2060617.0
k141_17360,1241,1.241,147,32.41,26.12,QKU35572.1,31.4,1.27e-14,78.2,
k141_98664,8768,8.768,1032,227.56,25.95,AYV81010.1,25.2,1.2899999999999998e-42,170.0,2487768.0
k141_178175,5618,5.618,661,145.75,25.94,YP_009481386.1,33.7,2.9e-16,80.9,2107707.0
k141_15805,14547,14.547,1711,377.27,25.93,NP_064912.1,26.0,2.98e-12,73.6,28321.0
k141_66021,20883,20.883,2453,540.89,25.9,QBK88329.1,31.4,2.08e-20,90.9,2506606.0
k141_110618,33274,33.274,3901,860.17,25.85,AWA44806.1,24.4,3.72e-17,85.1,4547.0
k141_73088,1814,1.814,212,46.75,25.77,QOI90398.1,53.3,1.2800000000000001e-70,233.0,455367.0
k141_62887,3064,3.064,355,78.28,25.55,APU88852.1,29.9,3.97e-57,209.0,1924548.0
k141_16473,96239,96.239,11139,2456.14,25.52,YP_007674885.1,42.5,2.06e-135,414.0,754064.0
k141_16524,47298,47.298,5466,1205.25,25.48,AUF82510.1,43.2,2.88e-212,620.0,2060617.0
k141_17871,1246,1.246,144,31.75,25.48,WZO79684.1,42.0,2.69e-99,309.0,2809302.0
k141_78411,12642,12.642,1459,321.71,25.45,ARF12495.1,28.7,3.27e-29,115.0,1977640.0
k141_154207,3033,3.033,350,77.17,25.45,WGU26825.1,25.9,1.17e-13,77.8,4568.0
k141_142608,60340,60.34,6963,1535.34,25.44,YP_001426582.1,24.7,3.5299999999999996e-46,181.0,411359.0
k141_28283,32215,32.215,3711,818.27,25.4,QKU34031.1,47.2,2.1700000000000003e-161,484.0,
k141_4807,14491,14.491,1669,368.01,25.4,XCA47502.1,32.5,6.0800000000000005e-56,194.0,3057169.0
k141_52497,7413,7.413,853,188.09,25.37,AYV75222.1,24.5,8.8e-10,65.1,2487775.0
k141_62668,4944,4.944,568,125.24,25.33,AYV83564.1,23.7,2.43e-15,82.8,2487770.0
k141_126394,1385,1.385,159,35.06,25.31,UUT40455.1,49.0,7.01e-94,287.0,2971331.0
k141_102138,3843,3.843,441,97.24,25.3,QFG74851.1,28.1,4.01e-40,159.0,1737588.0
k141_55337,41611,41.611,4773,1052.44,25.29,ARF10911.1,30.3,3.02e-46,179.0,1977638.0
k141_6788,97293,97.293,11084,2444.02,25.12,YP_009174445.1,48.8,1.2799999999999999e-52,175.0,1586715.0
k141_175828,26515,26.515,3020,665.91,25.11,AYV75146.1,27.2,1.52e-66,243.0,2487775.0
k141_138424,19951,19.951,2271,500.75,25.1,QKU35964.1,38.5,1.84e-18,94.0,
k141_147809,1424,1.424,162,35.72,25.08,WRJ69575.1,28.8,6.23e-09,57.8,3045048.0
k141_91676,67321,67.321,7656,1688.14,25.08,AYV80835.1,46.1,1.41e-71,226.0,2487768.0
k141_33227,57928,57.928,6588,1452.65,25.08,CAD61259.1,45.3,5.819999999999999e-187,565.0,7955.0
k141_164619,54712,54.712,6218,1371.07,25.06,CAK7596865.1,35.5,1.94e-24,107.0,3072188.0
k141_95317,4716,4.716,536,118.19,25.06,ABL86693.1,24.8,9.67e-06,51.6,104782.0
k141_94688,23767,23.767,2698,594.91,25.03,AGE57609.1,25.5,1.27e-26,119.0,1278276.0
k141_128975,23341,23.341,2650,584.32,25.03,YP_009001498.1,30.3,1.65e-22,101.0,62099.0
k141_100252,2714,2.714,308,67.91,25.02,QBK87111.1,40.3,1.5e-28,123.0,2506605.0
k141_84234,22326,22.326,2533,558.53,25.02,QFG75093.1,34.6,1.68e-39,149.0,1737588.0
k141_15809,24016,24.016,2722,600.2,24.99,AGE57609.1,24.8,2.0900000000000002e-29,129.0,1278276.0
k141_27323,1112,1.112,126,27.78,24.98,QYA18295.1,33.9,4.1e-28,118.0,2831644.0
k141_32397,4928,4.928,558,123.04,24.97,QFG74152.1,35.7,8.65e-24,99.0,1737588.0
k141_35590,42114,42.114,4769,1051.56,24.97,AYV78594.1,28.4,4.8799999999999997e-42,161.0,2487765.0
k141_107486,12215,12.215,1380,304.29,24.91,QDY52220.1,22.6,1.1000000000000001e-29,127.0,2596887.0
k141_160373,17867,17.867,2014,444.09,24.86,YP_009408251.1,26.0,3.33e-35,147.0,2025359.0
k141_18864,11062,11.062,1246,274.74,24.84,QBK92099.1,40.3,5.76e-75,236.0,2506594.0
k141_168242,68528,68.528,7713,1700.71,24.82,WZO79684.1,49.6,5.7100000000000006e-179,518.0,2809302.0
k141_53500,36949,36.949,4158,916.84,24.81,BBI30359.1,27.1,1.2999999999999999e-40,155.0,3114988.0
k141_2571,86311,86.311,9710,2141.05,24.81,CAD61259.1,34.5,6.48e-69,236.0,7955.0
k141_165396,5263,5.263,592,130.54,24.8,ARF11847.1,24.7,5.09e-08,50.8,1977640.0
k141_60738,143499,143.499,16135,3557.76,24.79,QOI90398.1,49.5,2.9900000000000005e-163,484.0,455367.0
k141_148378,1380,1.38,155,34.18,24.77,YP_009173627.1,53.6,6.64e-142,425.0,455364.0
k141_181315,106310,106.31,11933,2631.22,24.75,AYV76337.1,28.1,6.8e-69,237.0,2487775.0
k141_68917,10943,10.943,1228,270.77,24.74,AGE57609.1,28.9,2.5600000000000002e-79,278.0,1278276.0
k141_15158,61909,61.909,6944,1531.15,24.73,WZO87321.1,56.7,4.0200000000000004e-145,420.0,2809302.0
k141_35122,49911,49.911,5588,1232.15,24.69,YP_009448418.1,31.7,2.74e-84,277.0,2023057.0
k141_73029,54730,54.73,6126,1350.78,24.68,QBK89188.1,50.3,5.01e-125,372.0,2506609.0
k141_123176,110722,110.722,12387,2731.33,24.67,QOI90522.1,39.6,2.19e-132,407.0,455367.0
k141_15894,1155,1.155,129,28.44,24.63,QPI16131.1,36.2,6.229999999999999e-23,97.8,2763269.0
k141_2126,144340,144.34,16087,3547.18,24.58,AAN04366.1,47.7,1.03e-105,322.0,3116536.0
k141_167967,30899,30.899,3444,759.4,24.58,ARF11365.1,28.9,4.03e-50,183.0,1977640.0
k141_179751,34812,34.812,3881,855.76,24.58,QKF94251.1,40.8,6.18e-202,598.0,3070911.0
k141_151778,35440,35.44,3947,870.31,24.56,UYE94304.1,24.4,2.54e-61,234.0,251749.0
k141_131456,2247,2.247,250,55.12,24.53,QPI16596.1,35.2,2.46e-16,75.5,2763270.0
k141_34839,33439,33.439,3709,817.83,24.46,QDY52220.1,25.6,1.56e-33,139.0,2596887.0
k141_166046,4517,4.517,501,110.47,24.46,UUT40455.1,49.4,3.9499999999999996e-104,313.0,2971331.0
k141_11602,7336,7.336,813,179.27,24.44,QFG74328.1,32.9,3.3199999999999997e-40,157.0,1737588.0
k141_128393,35696,35.696,3954,871.85,24.42,ARF10911.1,27.9,1.66e-28,125.0,1977638.0
k141_2828,22312,22.312,2471,544.85,24.42,ARF09735.1,31.4,1.38e-35,132.0,1977633.0
k141_96231,6156,6.156,681,150.16,24.39,QOI90377.1,44.8,1.21e-12,61.2,455367.0
k141_145959,5812,5.812,643,141.78,24.39,BCU03021.1,29.4,2.5199999999999998e-34,125.0,2823154.0
k141_6808,14270,14.27,1575,347.29,24.34,WIL04310.1,30.0,2.14e-21,96.3,3032484.0
k141_148964,7876,7.876,869,191.61,24.33,QKU34530.1,37.9,1.3900000000000002e-144,438.0,
k141_50425,20772,20.772,2290,504.94,24.31,QIH04859.1,44.9,1.47e-80,248.0,2713452.0
k141_155629,2196,2.196,242,53.36,24.3,AYV84625.1,37.7,9.78e-19,85.5,2487770.0
k141_129348,1434,1.434,158,34.84,24.29,YP_009010708.1,31.7,3.05e-11,63.2,1301280.0
k141_162064,1154,1.154,127,28.0,24.27,YP_007676167.1,25.9,9.66e-14,76.6,755272.0
k141_139115,5663,5.663,623,137.37,24.26,CAE02706.1,23.9,1.62e-20,97.8,4952.0
k141_124091,1818,1.818,200,44.1,24.26,AUI39789.1,26.1,3.54e-13,70.5,47929.0
k141_74543,12611,12.611,1385,305.39,24.22,AMZ02739.1,36.6,1.52e-96,308.0,1835008.0
k141_57756,1366,1.366,150,33.07,24.21,AYV77371.1,23.0,2.11e-15,79.0,2487764.0
k141_53657,10742,10.742,1179,259.97,24.2,AXN90995.1,46.8,5.51e-68,213.0,1302812.0
k141_140764,3630,3.63,398,87.76,24.18,UVF62130.1,32.7,6.49e-06,52.0,2972744.0
k141_8140,48207,48.207,5287,1165.78,24.18,YP_008992197.1,29.7,2.22e-52,196.0,1987479.0
k141_26718,2300,2.3,252,55.57,24.16,AYV80684.1,31.9,9.98e-08,55.1,2487768.0
k141_149540,4502,4.502,493,108.71,24.15,QFG74502.1,49.0,7.33e-82,249.0,1737588.0
k141_33262,46061,46.061,5043,1111.98,24.14,ULY68560.1,35.6,3.8900000000000006e-73,237.0,2922419.0
k141_125713,22173,22.173,2426,534.93,24.13,QKF93461.1,40.0,9.789999999999999e-95,303.0,3070911.0
k141_80635,10675,10.675,1166,257.1,24.08,AUI39626.1,29.4,4.77e-33,131.0,47929.0
k141_47224,30458,30.458,3322,732.5,24.05,AYV80835.1,32.5,2.3000000000000003e-31,120.0,2487768.0
k141_143305,1468,1.468,160,35.28,24.03,AUI39789.1,28.6,1.42e-19,88.2,47929.0
k141_52771,18889,18.889,2055,453.13,23.99,UYL94274.1,23.3,1.03e-14,80.9,2651957.0
k141_22664,5085,5.085,553,121.94,23.98,QBK92099.1,45.9,8.4e-86,264.0,2506594.0
k141_146368,4709,4.709,512,112.9,23.97,QOI90522.1,51.2,1.59e-27,115.0,455367.0
k141_114282,1073,1.073,116,25.58,23.84,QIG60138.1,46.1,3.71e-68,228.0,2704073.0
k141_29877,3912,3.912,423,93.27,23.84,QBK92099.1,47.2,2.52e-92,281.0,2506594.0
k141_70989,16350,16.35,1766,389.4,23.82,XDO02360.1,23.6,4.31e-11,67.4,3240092.0
k141_26583,26901,26.901,2903,640.11,23.8,WBR14998.1,40.8,2.8500000000000004e-79,251.0,3019033.0
k141_173970,3607,3.607,388,85.55,23.72,QKU34311.1,31.5,1.94e-16,83.6,
k141_139197,1286,1.286,138,30.43,23.66,AGE59490.1,31.1,2.35e-12,69.3,1278277.0
k141_11353,2026,2.026,217,47.85,23.62,QFG73745.1,31.3,1.4300000000000002e-35,140.0,1737588.0
k141_115614,1456,1.456,156,34.4,23.62,QPI16131.1,36.8,8.610000000000001e-43,155.0,2763269.0
k141_43804,13794,13.794,1475,325.24,23.58,QFG74176.1,35.9,8.15e-51,176.0,1737588.0
k141_91434,1744,1.744,186,41.01,23.52,YP_009010577.1,26.9,1.12e-26,118.0,1301280.0
k141_167919,1212,1.212,129,28.44,23.47,QPI16279.1,42.0,3.64e-68,225.0,2763269.0
k141_157239,31683,31.683,3371,743.3,23.46,QBK92036.1,35.4,2.13e-15,77.4,2506594.0
k141_60251,12326,12.326,1311,289.07,23.45,UHJ15022.1,30.8,1.83e-33,125.0,10261.0
k141_24211,9886,9.886,1051,231.74,23.44,QKF93918.1,44.3,2.41e-122,369.0,3070911.0
k141_32887,25162,25.162,2672,589.17,23.42,UZT28865.1,30.0,2.37e-22,96.3,2809609.0
k141_33178,5181,5.181,550,121.27,23.41,QPI16279.1,35.4,4.47e-59,202.0,2763269.0
k141_23852,80022,80.022,8468,1867.19,23.33,AYV80835.1,30.9,5.57e-20,90.5,2487768.0
k141_127940,1656,1.656,175,38.59,23.3,AUI39789.1,26.4,7.32e-15,75.5,47929.0
k141_173010,1382,1.382,146,32.19,23.29,QPI16279.1,38.1,7.47e-50,175.0,2763269.0
k141_162918,1212,1.212,128,28.22,23.29,QFG74471.1,39.6,3.33e-75,254.0,1737588.0
k141_139087,1146,1.146,121,26.68,23.28,ATZ81040.1,42.0,4.88e-08,53.1,2024608.0
k141_35493,9140,9.14,960,211.68,23.16,ARF10911.1,29.4,3.93e-09,64.7,1977638.0
k141_72942,5458,5.458,573,126.35,23.15,QPI16131.1,37.9,1.41e-57,198.0,2763269.0
k141_23664,1439,1.439,151,33.3,23.14,AGE56295.1,26.4,1.32e-10,62.4,1278261.0
k141_177810,1837,1.837,192,42.34,23.05,YP_009173531.1,30.8,1.48e-26,119.0,455364.0
k141_40036,7018,7.018,733,161.63,23.03,QBK86799.1,48.2,4.25e-113,353.0,2506604.0
k141_59742,58826,58.826,6129,1351.44,22.97,AYV84014.1,35.1,3.35e-88,301.0,2487770.0
k141_99867,6135,6.135,639,140.9,22.97,WZO85486.1,29.8,2.22e-25,110.0,2809302.0
k141_152487,6923,6.923,719,158.54,22.9,YP_009001498.1,24.6,2.02e-14,76.6,62099.0
k141_66775,1502,1.502,156,34.4,22.9,WRW24640.1,23.0,2.78e-08,60.8,262968.0
k141_7381,1763,1.763,183,40.35,22.89,QKU35964.1,22.7,1.29e-21,103.0,
k141_74575,6815,6.815,707,155.89,22.88,ARF08656.1,38.2,2.84e-101,316.0,1977631.0
k141_163895,7057,7.057,732,161.41,22.87,AYV77025.1,47.1,2.02e-243,701.0,2487763.0
k141_143717,13117,13.117,1360,299.88,22.86,YP_009448418.1,32.1,5.469999999999999e-89,290.0,2023057.0
k141_166885,8856,8.856,917,202.2,22.83,QFG74015.1,31.2,6.11e-52,194.0,1737588.0
k141_156004,1470,1.47,152,33.52,22.8,AUI39789.1,29.6,2.53e-17,80.9,47929.0
k141_69,1606,1.606,166,36.6,22.79,QKF94107.1,26.0,1.77e-25,113.0,3070911.0
k141_47937,32364,32.364,3343,737.13,22.78,ARF08647.1,40.6,2.42e-46,155.0,1977631.0
k141_36446,8014,8.014,827,182.35,22.75,UZT29310.1,33.6,1.72e-26,111.0,2809609.0
k141_112831,1008,1.008,104,22.93,22.75,QOI90522.1,40.4,1.89e-77,251.0,455367.0
k141_114467,6854,6.854,707,155.89,22.74,QOI90522.1,37.1,3.17e-89,290.0,455367.0
k141_161519,1769,1.769,182,40.13,22.69,YP_009001498.1,30.8,4.2e-10,60.5,62099.0
k141_144365,2566,2.566,264,58.21,22.69,ALZ45747.1,25.9,1.6200000000000003e-27,119.0,342409.0
k141_60083,1061,1.061,109,24.03,22.65,QFG74471.1,45.4,6.3e-97,311.0,1737588.0
k141_41752,5074,5.074,520,114.66,22.6,QDY52400.1,28.0,9.89e-10,61.6,2596887.0
k141_91036,1009,1.009,103,22.71,22.51,AAK92822.1,55.2,2.74e-105,317.0,3702.0
k141_144451,16158,16.158,1648,363.38,22.49,QOI90522.1,33.9,4.08e-123,387.0,455367.0
k141_18216,4783,4.783,487,107.38,22.45,WIL04293.1,29.4,3.76e-21,102.0,3032484.0
k141_102472,2153,2.153,219,48.29,22.43,QYA18295.1,30.3,9.230000000000001e-37,147.0,2831644.0
k141_149055,2419,2.419,246,54.24,22.42,AYV78352.1,30.5,2.6999999999999997e-42,159.0,2487765.0
k141_175312,3316,3.316,337,74.31,22.41,QDY51684.1,34.8,3.03e-149,473.0,2596887.0
k141_170886,3591,3.591,365,80.48,22.41,AYV86642.1,31.0,2.11e-20,98.6,2487774.0
k141_96755,1747,1.747,177,39.03,22.34,YP_009120775.1,40.0,1.53e-38,144.0,1605721.0
k141_37860,1145,1.145,116,25.58,22.34,WZH61920.1,50.0,2.77e-17,79.7,3131770.0
k141_120958,1720,1.72,174,38.37,22.31,UPW42252.1,50.0,2.2700000000000004e-21,102.0,2937230.0
k141_113101,1498,1.498,151,33.3,22.23,YP_009001225.1,27.2,8.28e-15,76.3,1450746.0
k141_34187,1014,1.014,102,22.49,22.18,QOI90522.1,40.2,2.8400000000000003e-47,171.0,455367.0
k141_130210,13539,13.539,1360,299.88,22.15,QBK87879.1,29.3,2.53e-39,148.0,2506606.0
k141_125468,1205,1.205,121,26.68,22.14,AYV84625.1,34.4,1.22e-12,72.0,2487770.0
k141_98068,3296,3.296,331,72.99,22.14,QKF94253.1,28.8,7.12e-20,92.0,3070911.0
k141_73915,5928,5.928,595,131.2,22.13,AYV76445.1,34.2,2.87e-24,103.0,2487775.0
k141_150913,5290,5.29,529,116.64,22.05,YP_004062114.1,32.5,3.24e-28,114.0,880161.0
k141_164864,2122,2.122,212,46.75,22.03,QKU35964.1,23.6,7.44e-36,148.0,
k141_36577,3840,3.84,383,84.45,21.99,QKF93918.1,39.2,1.09e-112,344.0,3070911.0
k141_138651,9478,9.478,945,208.37,21.98,UPW42252.1,48.6,1.2199999999999999e-24,110.0,2937230.0
k141_115830,1119,1.119,111,24.48,21.87,QFG73671.1,33.5,1.01e-54,187.0,1737588.0
