================================================================================
Viral Abundance Report (MEGAHIT) - llnl_66ce4dde
================================================================================

Total mapped reads: 4,535,158
Viral contigs detected: 12875

Contig ID                      Length (bp)     Reads      RPM          RPKM         Identity (%)
k141_56312                     2315            355        78.28        33.81        28.80       
k141_8962                      21278           3257       718.17       33.75        36.40       
k141_97249                     1855            283        62.40        33.64        27.80       
k141_42929                     3791            560        123.48       32.57        27.80       
k141_167357                    3096            452        99.67        32.19        81.40       
k141_167099                    3450            500        110.25       31.96        48.30       
k141_113764                    14525           2104       463.93       31.94        48.80       
k141_133997                    4235            610        134.50       31.76        29.80       
k141_147123                    2542            366        80.70        31.75        51.60       
k141_57748                     1662            236        52.04        31.31        33.30       
k141_179250                    1012            143        31.53        31.16        56.20       
k141_123103                    1341            189        41.67        31.08        34.90       
k141_36006                     2770            389        85.77        30.97        31.80       
k141_4057                      54875           7665       1690.13      30.80        26.40       
k141_172835                    1626            227        50.05        30.78        28.20       
k141_75058                     122177          17010      3750.70      30.70        42.50       
k141_159067                    24826           3446       759.84       30.61        51.30       
k141_160907                    22584           3135       691.27       30.61        33.90       
k141_68086                     1585            220        48.51        30.61        41.10       
k141_71880                     24343           3363       741.54       30.46        43.10       
k141_35246                     3103            428        94.37        30.41        46.60       
k141_164715                    1531            210        46.30        30.24        51.70       
k141_30902                     2021            276        60.86        30.11        55.30       
k141_78343                     1289            176        38.81        30.11        28.20       
k141_11178                     27791           3786       834.81       30.04        26.60       
k141_97244                     21191           2878       634.60       29.95        45.50       
k141_2547                      2669            362        79.82        29.91        38.00       
k141_58446                     1301            175        38.59        29.66        35.10       
k141_119778                    41724           5610       1237.00      29.65        50.00       
k141_10336                     71530           9611       2119.22      29.63        45.00       
k141_71100                     1214            161        35.50        29.24        33.00       
k141_133861                    5911            775        170.89       28.91        49.20       
k141_158526                    8729            1133       249.83       28.62        35.10       
k141_141852                    6600            853        188.09       28.50        38.10       
k141_148501                    1608            207        45.64        28.39        33.20       
k141_13175                     1500            193        42.56        28.37        49.10       
k141_15784                     1003            129        28.44        28.36        31.90       
k141_40983                     1248            160        35.28        28.27        45.20       
k141_84068                     2433            311        68.58        28.19        25.60       
k141_160530                    16506           2105       464.15       28.12        36.70       
k141_77728                     1292            164        36.16        27.99        36.30       
k141_155117                    2131            269        59.31        27.83        43.30       
k141_6359                      1128            142        31.31        27.76        35.70       
k141_82861                     1300            163        35.94        27.65        31.40       
k141_117379                    1812            227        50.05        27.62        39.40       
k141_4000                      1263            158        34.84        27.58        25.50       
k141_152693                    2097            262        57.77        27.55        28.50       
k141_125636                    1689            211        46.53        27.55        45.30       
k141_116175                    1537            192        42.34        27.54        24.60       
k141_149088                    2556            319        70.34        27.52        34.60       
k141_117323                    5843            728        160.52       27.47        28.00       
k141_125131                    1729            215        47.41        27.42        31.80       
k141_171092                    2889            358        78.94        27.32        52.40       
k141_109962                    1949            240        52.92        27.15        35.90       
k141_149584                    3658            446        98.34        26.88        33.70       
k141_23014                     9593            1164       256.66       26.76        28.00       
k141_149198                    1963            238        52.48        26.73        36.00       
k141_165678                    22351           2701       595.57       26.65        38.20       
k141_107834                    2697            326        71.88        26.65        38.80       
k141_106508                    2254            272        59.98        26.61        49.40       
k141_19460                     27565           3295       726.55       26.36        29.90       
k141_26202                     14153           1683       371.10       26.22        40.50       
k141_113204                    1035            123        27.12        26.20        43.60       
k141_80046                     2680            318        70.12        26.16        52.40       
k141_17360                     1241            147        32.41        26.12        31.40       
k141_98664                     8768            1032       227.56       25.95        25.20       
k141_178175                    5618            661        145.75       25.94        33.70       
k141_15805                     14547           1711       377.27       25.93        26.00       
k141_66021                     20883           2453       540.89       25.90        31.40       
k141_110618                    33274           3901       860.17       25.85        24.40       
k141_73088                     1814            212        46.75        25.77        53.30       
k141_62887                     3064            355        78.28        25.55        29.90       
k141_16473                     96239           11139      2456.14      25.52        42.50       
k141_16524                     47298           5466       1205.25      25.48        43.20       
k141_17871                     1246            144        31.75        25.48        42.00       
k141_78411                     12642           1459       321.71       25.45        28.70       
k141_154207                    3033            350        77.17        25.45        25.90       
k141_142608                    60340           6963       1535.34      25.44        24.70       
k141_28283                     32215           3711       818.27       25.40        47.20       
k141_4807                      14491           1669       368.01       25.40        32.50       
k141_52497                     7413            853        188.09       25.37        24.50       
k141_62668                     4944            568        125.24       25.33        23.70       
k141_126394                    1385            159        35.06        25.31        49.00       
k141_102138                    3843            441        97.24        25.30        28.10       
k141_55337                     41611           4773       1052.44      25.29        30.30       
k141_6788                      97293           11084      2444.02      25.12        48.80       
k141_175828                    26515           3020       665.91       25.11        27.20       
k141_138424                    19951           2271       500.75       25.10        38.50       
k141_147809                    1424            162        35.72        25.08        28.80       
k141_91676                     67321           7656       1688.14      25.08        46.10       
k141_33227                     57928           6588       1452.65      25.08        45.30       
k141_164619                    54712           6218       1371.07      25.06        35.50       
k141_95317                     4716            536        118.19       25.06        24.80       
k141_94688                     23767           2698       594.91       25.03        25.50       
k141_128975                    23341           2650       584.32       25.03        30.30       
k141_100252                    2714            308        67.91        25.02        40.30       
k141_84234                     22326           2533       558.53       25.02        34.60       
k141_15809                     24016           2722       600.20       24.99        24.80       
k141_27323                     1112            126        27.78        24.98        33.90       
k141_32397                     4928            558        123.04       24.97        35.70       
k141_35590                     42114           4769       1051.56      24.97        28.40       
k141_107486                    12215           1380       304.29       24.91        22.60       
k141_160373                    17867           2014       444.09       24.86        26.00       
k141_18864                     11062           1246       274.74       24.84        40.30       
k141_168242                    68528           7713       1700.71      24.82        49.60       
k141_53500                     36949           4158       916.84       24.81        27.10       
k141_2571                      86311           9710       2141.05      24.81        34.50       
k141_165396                    5263            592        130.54       24.80        24.70       
k141_60738                     143499          16135      3557.76      24.79        49.50       
k141_148378                    1380            155        34.18        24.77        53.60       
k141_181315                    106310          11933      2631.22      24.75        28.10       
k141_68917                     10943           1228       270.77       24.74        28.90       
k141_15158                     61909           6944       1531.15      24.73        56.70       
k141_35122                     49911           5588       1232.15      24.69        31.70       
k141_73029                     54730           6126       1350.78      24.68        50.30       
k141_123176                    110722          12387      2731.33      24.67        39.60       
k141_15894                     1155            129        28.44        24.63        36.20       
k141_2126                      144340          16087      3547.18      24.58        47.70       
k141_167967                    30899           3444       759.40       24.58        28.90       
k141_179751                    34812           3881       855.76       24.58        40.80       
k141_151778                    35440           3947       870.31       24.56        24.40       
k141_131456                    2247            250        55.12        24.53        35.20       
k141_34839                     33439           3709       817.83       24.46        25.60       
k141_166046                    4517            501        110.47       24.46        49.40       
k141_11602                     7336            813        179.27       24.44        32.90       
k141_128393                    35696           3954       871.85       24.42        27.90       
k141_2828                      22312           2471       544.85       24.42        31.40       
k141_96231                     6156            681        150.16       24.39        44.80       
k141_145959                    5812            643        141.78       24.39        29.40       
k141_6808                      14270           1575       347.29       24.34        30.00       
k141_148964                    7876            869        191.61       24.33        37.90       
k141_50425                     20772           2290       504.94       24.31        44.90       
k141_155629                    2196            242        53.36        24.30        37.70       
k141_129348                    1434            158        34.84        24.29        31.70       
k141_162064                    1154            127        28.00        24.27        25.90       
k141_139115                    5663            623        137.37       24.26        23.90       
k141_124091                    1818            200        44.10        24.26        26.10       
k141_74543                     12611           1385       305.39       24.22        36.60       
k141_57756                     1366            150        33.07        24.21        23.00       
k141_53657                     10742           1179       259.97       24.20        46.80       
k141_140764                    3630            398        87.76        24.18        32.70       
k141_8140                      48207           5287       1165.78      24.18        29.70       
k141_26718                     2300            252        55.57        24.16        31.90       
k141_149540                    4502            493        108.71       24.15        49.00       
k141_33262                     46061           5043       1111.98      24.14        35.60       
k141_125713                    22173           2426       534.93       24.13        40.00       
k141_80635                     10675           1166       257.10       24.08        29.40       
k141_47224                     30458           3322       732.50       24.05        32.50       
k141_143305                    1468            160        35.28        24.03        28.60       
k141_52771                     18889           2055       453.13       23.99        23.30       
k141_22664                     5085            553        121.94       23.98        45.90       
k141_146368                    4709            512        112.90       23.97        51.20       
k141_114282                    1073            116        25.58        23.84        46.10       
k141_29877                     3912            423        93.27        23.84        47.20       
k141_70989                     16350           1766       389.40       23.82        23.60       
k141_26583                     26901           2903       640.11       23.80        40.80       
k141_173970                    3607            388        85.55        23.72        31.50       
k141_139197                    1286            138        30.43        23.66        31.10       
k141_11353                     2026            217        47.85        23.62        31.30       
k141_115614                    1456            156        34.40        23.62        36.80       
k141_43804                     13794           1475       325.24       23.58        35.90       
k141_91434                     1744            186        41.01        23.52        26.90       
k141_167919                    1212            129        28.44        23.47        42.00       
k141_157239                    31683           3371       743.30       23.46        35.40       
k141_60251                     12326           1311       289.07       23.45        30.80       
k141_24211                     9886            1051       231.74       23.44        44.30       
k141_32887                     25162           2672       589.17       23.42        30.00       
k141_33178                     5181            550        121.27       23.41        35.40       
k141_23852                     80022           8468       1867.19      23.33        30.90       
k141_127940                    1656            175        38.59        23.30        26.40       
k141_173010                    1382            146        32.19        23.29        38.10       
k141_162918                    1212            128        28.22        23.29        39.60       
k141_139087                    1146            121        26.68        23.28        42.00       
k141_35493                     9140            960        211.68       23.16        29.40       
k141_72942                     5458            573        126.35       23.15        37.90       
k141_23664                     1439            151        33.30        23.14        26.40       
k141_177810                    1837            192        42.34        23.05        30.80       
k141_40036                     7018            733        161.63       23.03        48.20       
k141_59742                     58826           6129       1351.44      22.97        35.10       
k141_99867                     6135            639        140.90       22.97        29.80       
k141_152487                    6923            719        158.54       22.90        24.60       
k141_66775                     1502            156        34.40        22.90        23.00       
k141_7381                      1763            183        40.35        22.89        22.70       
k141_74575                     6815            707        155.89       22.88        38.20       
k141_163895                    7057            732        161.41       22.87        47.10       
k141_143717                    13117           1360       299.88       22.86        32.10       
k141_166885                    8856            917        202.20       22.83        31.20       
k141_156004                    1470            152        33.52        22.80        29.60       
k141_69                        1606            166        36.60        22.79        26.00       
k141_47937                     32364           3343       737.13       22.78        40.60       
k141_36446                     8014            827        182.35       22.75        33.60       
k141_112831                    1008            104        22.93        22.75        40.40       
k141_114467                    6854            707        155.89       22.74        37.10       
k141_161519                    1769            182        40.13        22.69        30.80       
k141_144365                    2566            264        58.21        22.69        25.90       
k141_60083                     1061            109        24.03        22.65        45.40       
k141_41752                     5074            520        114.66       22.60        28.00       
k141_91036                     1009            103        22.71        22.51        55.20       
k141_144451                    16158           1648       363.38       22.49        33.90       
k141_18216                     4783            487        107.38       22.45        29.40       
k141_102472                    2153            219        48.29        22.43        30.30       
k141_149055                    2419            246        54.24        22.42        30.50       
k141_175312                    3316            337        74.31        22.41        34.80       
k141_170886                    3591            365        80.48        22.41        31.00       
k141_96755                     1747            177        39.03        22.34        40.00       
k141_37860                     1145            116        25.58        22.34        50.00       
k141_120958                    1720            174        38.37        22.31        50.00       
k141_113101                    1498            151        33.30        22.23        27.20       
k141_34187                     1014            102        22.49        22.18        40.20       
k141_130210                    13539           1360       299.88       22.15        29.30       
k141_125468                    1205            121        26.68        22.14        34.40       
k141_98068                     3296            331        72.99        22.14        28.80       
k141_73915                     5928            595        131.20       22.13        34.20       
k141_150913                    5290            529        116.64       22.05        32.50       
k141_164864                    2122            212        46.75        22.03        23.60       
k141_36577                     3840            383        84.45        21.99        39.20       
k141_138651                    9478            945        208.37       21.98        48.60       
k141_115830                    1119            111        24.48        21.87        33.50       
k141_74402                     2756            273        60.20        21.84        48.30       
k141_157455                    1748            173        38.15        21.82        40.50       
k141_149508                    1083            107        23.59        21.79        29.10       
k141_769                       1307            129        28.44        21.76        25.10       
k141_45395                     1095            108        23.81        21.75        35.10       
k141_93931                     2376            234        51.60        21.72        30.70       
k141_111216                    1022            100        22.05        21.58        42.20       
k141_169624                    12056           1178       259.75       21.55        32.80       
k141_153458                    1208            118        26.02        21.54        25.00       
k141_178752                    4408            430        94.81        21.51        27.90       
k141_4770                      1088            106        23.37        21.48        28.80       
k141_17673                     2630            256        56.45        21.46        25.90       
k141_3610                      2323            226        49.83        21.45        28.10       
k141_46834                     1019            99         21.83        21.42        47.70       
k141_74213                     1670            162        35.72        21.39        36.60       
k141_46113                     9301            902        198.89       21.38        41.60       
k141_2416                      3563            345        76.07        21.35        33.60       
k141_90726                     1870            181        39.91        21.34        45.70       
k141_113278                    2791            270        59.53        21.33        29.80       
k141_173460                    14243           1378       303.85       21.33        36.90       
k141_106070                    1521            147        32.41        21.31        31.70       
k141_12804                     7022            678        149.50       21.29        43.80       
k141_106301                    2186            211        46.53        21.28        40.20       
k141_2558                      1009            97         21.39        21.20        30.40       
k141_179475                    1165            112        24.70        21.20        45.40       
k141_101876                    4784            459        101.21       21.16        33.40       
k141_136943                    3064            294        64.83        21.16        31.40       
k141_175343                    6357            610        134.50       21.16        27.90       
k141_166146                    6111            586        129.21       21.14        29.70       
k141_22600                     8419            807        177.94       21.14        37.00       
k141_139281                    1057            101        22.27        21.07        33.30       
k141_129124                    1444            138        30.43        21.07        43.00       
k141_6868                      3821            365        80.48        21.06        42.90       
k141_63958                     8623            823        181.47       21.05        30.00       
k141_154736                    4331            413        91.07        21.03        23.60       
k141_91286                     1338            127        28.00        20.93        49.00       
k141_145699                    3192            303        66.81        20.93        21.60       
k141_26187                     1129            107        23.59        20.90        45.50       
k141_134232                    1456            138        30.43        20.90        33.00       
k141_171078                    1647            156        34.40        20.89        69.10       
k141_180712                    8766            830        183.01       20.88        34.40       
k141_127772                    5983            566        124.80       20.86        55.60       
k141_52071                     4166            394        86.88        20.85        29.30       
k141_6504                      5784            547        120.61       20.85        42.20       
k141_26276                     8238            779        171.77       20.85        30.80       
k141_172638                    11757           1111       244.97       20.84        40.00       
k141_117450                    5338            503        110.91       20.78        38.10       
k141_162115                    1910            180        39.69        20.78        47.50       
k141_114068                    8422            792        174.64       20.74        30.70       
k141_35363                     3327            313        69.02        20.74        24.70       
k141_113395                    8462            795        175.30       20.72        30.30       
k141_56550                     6582            618        136.27       20.70        29.90       
k141_20883                     17117           1606       354.12       20.69        28.50       
k141_24214                     1365            128        28.22        20.68        37.80       
k141_100992                    9037            847        186.76       20.67        27.90       
k141_65762                     12039           1127       248.50       20.64        24.50       
k141_20161                     5227            489        107.82       20.63        22.30       
k141_5841                      6101            570        125.68       20.60        30.00       
k141_148042                    1082            101        22.27        20.58        36.30       
k141_179685                    1061            99         21.83        20.57        27.80       
k141_97453                     6413            597        131.64       20.53        33.70       
k141_163090                    6225            579        127.67       20.51        27.20       
k141_18286                     1044            97         21.39        20.49        88.90       
k141_60073                     12685           1178       259.75       20.48        50.70       
k141_54058                     6399            594        130.98       20.47        29.90       
k141_108733                    5379            499        110.03       20.46        67.50       
k141_175764                    8609            799        176.18       20.46        21.70       
k141_178089                    1229            114        25.14        20.45        36.60       
k141_156428                    9942            921        203.08       20.43        46.60       
k141_113139                    1295            120        26.46        20.43        31.00       
k141_87177                     1795            166        36.60        20.39        36.30       
k141_79792                     7386            683        150.60       20.39        52.30       
k141_159207                    1407            130        28.66        20.37        41.90       
k141_92844                     9009            831        183.24       20.34        33.30       
k141_160677                    3036            280        61.74        20.34        34.00       
k141_137149                    14178           1308       288.41       20.34        33.30       
k141_1528                      1740            160        35.28        20.28        29.80       
k141_40740                     1892            174        38.37        20.28        28.60       
k141_32338                     1656            152        33.52        20.24        37.00       
k141_111764                    2125            195        43.00        20.23        23.10       
k141_126618                    7217            662        145.97       20.23        59.10       
k141_8805                      1090            100        22.05        20.23        43.10       
k141_57206                     10315           946        208.59       20.22        32.00       
k141_125596                    15431           1414       311.79       20.21        35.10       
k141_87175                     4563            418        92.17        20.20        39.70       
k141_3160                      4095            375        82.69        20.19        26.10       
k141_83386                     3925            359        79.16        20.17        22.10       
k141_128294                    4226            386        85.11        20.14        34.20       
k141_153906                    8162            745        164.27       20.13        34.90       
k141_56927                     11367           1037       228.66       20.12        40.40       
k141_68259                     4643            423        93.27        20.09        30.60       
k141_172090                    6024            548        120.83       20.06        44.30       
k141_32672                     4489            408        89.96        20.04        56.30       
k141_124220                    7801            709        156.33       20.04        36.30       
k141_24087                     3050            277        61.08        20.03        39.60       
k141_74741                     2725            247        54.46        19.99        30.40       
k141_69699                     5253            476        104.96       19.98        36.60       
k141_170414                    9794            887        195.58       19.97        29.50       
k141_51389                     6143            556        122.60       19.96        29.40       
k141_113369                    3559            322        71.00        19.95        29.10       
k141_72827                     4354            394        86.88        19.95        45.20       
k141_117430                    6621            599        132.08       19.95        26.90       
k141_135510                    1217            110        24.25        19.93        41.70       
k141_72099                     4091            369        81.36        19.89        41.00       
k141_88169                     18351           1655       364.93       19.89        27.30       
k141_82209                     1752            158        34.84        19.89        48.10       
k141_119616                    3604            325        71.66        19.88        29.70       
k141_59205                     1242            112        24.70        19.88        43.70       
k141_114817                    1810            163        35.94        19.86        32.00       
k141_78910                     1255            113        24.92        19.85        33.00       
k141_134644                    35091           3156       695.90       19.83        62.90       
k141_60370                     5553            499        110.03       19.81        32.30       
k141_132695                    23519           2112       465.69       19.80        31.30       
k141_68187                     7478            671        147.96       19.79        34.70       
k141_94197                     4113            369        81.36        19.78        39.00       
k141_67889                     10951           982        216.53       19.77        26.50       
k141_81920                     2946            264        58.21        19.76        39.60       
k141_146898                    4565            409        90.18        19.76        31.40       
k141_164409                    12019           1077       237.48       19.76        35.40       
k141_57530                     3895            349        76.95        19.76        26.10       
k141_153827                    5970            535        117.97       19.76        27.20       
k141_176441                    2981            267        58.87        19.75        34.10       
k141_117579                    6867            615        135.61       19.75        41.40       
k141_8919                      1789            160        35.28        19.72        31.20       
k141_27927                     1118            100        22.05        19.72        31.10       
k141_20205                     2360            211        46.53        19.71        26.80       
k141_152833                    14036           1254       276.51       19.70        31.80       
k141_25159                     11764           1049       231.30       19.66        29.50       
k141_173250                    5981            533        117.53       19.65        33.30       
k141_43509                     22494           2005       442.10       19.65        40.00       
k141_74351                     9256            825        181.91       19.65        34.40       
k141_120022                    1370            122        26.90        19.64        28.10       
k141_59524                     7608            677        149.28       19.62        34.50       
k141_175756                    9676            861        189.85       19.62        37.50       
k141_179568                    3695            328        72.32        19.57        30.30       
k141_154401                    1341            119        26.24        19.57        33.30       
k141_19187                     4182            371        81.81        19.56        25.80       
k141_5476                      7026            623        137.37       19.55        32.30       
k141_88710                     2347            208        45.86        19.54        25.60       
k141_59753                     10493           930        205.06       19.54        35.00       
k141_92106                     3419            303        66.81        19.54        24.90       
k141_162580                    3444            305        67.25        19.53        36.90       
k141_33412                     1819            161        35.50        19.52        32.20       
k141_141821                    5672            502        110.69       19.52        26.60       
k141_6979                      9662            855        188.53       19.51        29.60       
k141_2123                      3910            346        76.29        19.51        53.40       
k141_75387                     7266            643        141.78       19.51        33.70       
k141_156507                    2328            206        45.42        19.51        27.00       
k141_26049                     1290            114        25.14        19.49        52.40       
k141_124363                    4491            397        87.54        19.49        32.10       
k141_78254                     2658            235        51.82        19.49        33.30       
k141_144594                    1414            125        27.56        19.49        35.70       
k141_125841                    8367            739        162.95       19.48        41.40       
k141_154979                    6139            542        119.51       19.47        35.90       
k141_73227                     2448            216        47.63        19.46        50.40       
k141_97268                     4169            368        81.14        19.46        23.70       
k141_105360                    13553           1195       263.50       19.44        28.70       
k141_1573                      10419           917        202.20       19.41        34.90       
k141_64551                     11247           989        218.07       19.39        27.70       
k141_176852                    1092            96         21.17        19.38        42.20       
k141_138540                    4930            433        95.48        19.37        26.40       
k141_128121                    1036            91         20.07        19.37        30.20       
k141_135812                    1025            90         19.84        19.36        38.20       
k141_69384                     1299            114        25.14        19.35        42.60       
k141_169814                    6953            610        134.50       19.34        46.50       
k141_134746                    8638            757        166.92       19.32        28.60       
k141_120727                    1404            123        27.12        19.32        49.60       
k141_73271                     5379            471        103.86       19.31        29.70       
k141_142488                    8495            744        164.05       19.31        43.30       
k141_149979                    16685           1460       321.93       19.29        31.40       
k141_63235                     3659            320        70.56        19.28        30.10       
k141_118799                    4702            411        90.63        19.27        28.70       
k141_109901                    20962           1831       403.73       19.26        51.40       
k141_24437                     20894           1823       401.97       19.24        38.20       
k141_25194                     5793            505        111.35       19.22        27.80       
k141_127814                    1825            159        35.06        19.21        28.50       
k141_11610                     35678           3106       684.87       19.20        27.70       
k141_107344                    7089            617        136.05       19.19        24.30       
k141_130086                    3794            330        72.76        19.18        28.90       
k141_122169                    9669            841        185.44       19.18        42.70       
k141_156806                    10426           907        199.99       19.18        42.60       
k141_82105                     1092            95         20.95        19.18        21.60       
k141_35777                     31762           2762       609.02       19.17        26.90       
k141_177788                    11715           1018       224.47       19.16        27.60       
k141_129468                    1508            131        28.89        19.15        40.40       
k141_171297                    14265           1238       272.98       19.14        38.40       
k141_139183                    1835            159        35.06        19.11        28.20       
k141_164282                    1650            143        31.53        19.11        27.50       
k141_160708                    3531            306        67.47        19.11        39.80       
k141_93890                     3717            322        71.00        19.10        27.40       
k141_69138                     2020            175        38.59        19.10        24.40       
k141_33246                     11420           988        217.85       19.08        43.20       
k141_63578                     3748            324        71.44        19.06        31.00       
k141_44456                     1169            101        22.27        19.05        48.90       
k141_52394                     1424            123        27.12        19.05        27.80       
k141_120267                    4780            413        91.07        19.05        37.70       
k141_23757                     2085            180        39.69        19.04        26.80       
k141_78635                     13845           1195       263.50       19.03        45.60       
k141_148278                    14119           1217       268.35       19.01        24.00       
k141_158351                    11491           989        218.07       18.98        30.20       
k141_157383                    4486            386        85.11        18.97        42.60       
k141_38120                     1013            87         19.18        18.94        43.80       
